x_2: 2.828427 | y_2: 2.828427

x_3: 3.061467 | y_3: 3.061467

x_4: 3.121445 | y_4: 3.121445

x_5: 3.136548 | y_5: 3.136548

x_6: 3.140331 | y_6: 3.140331

x_7: 3.141277 | y_7: 3.141277

x_8: 3.141514 | y_8: 3.141514

x_9: 3.141573 | y_9: 3.141573

x_10: 3.141588 | y_10: 3.141588

x_11: 3.141591 | y_11: 3.141591

x_12: 3.141592 | y_12: 3.141592

x_13: 3.141593 | y_13: 3.141593

x_14: 3.141593 | y_14: 3.141593

x_15: 3.141593 | y_15: 3.141593

x_16: 3.141593 | y_16: 3.141593

x_17: 3.141593 | y_17: 3.141593

x_18: 3.141593 | y_18: 3.141593

x_19: 3.141594 | y_19: 3.141593

x_20: 3.141597 | y_20: 3.141593

x_21: 3.141597 | y_21: 3.141593

x_22: 3.141674 | y_22: 3.141593

x_23: 3.141830 | y_23: 3.141593

x_24: 3.142451 | y_24: 3.141593

x_25: 3.142451 | y_25: 3.141593

x_26: 3.162278 | y_26: 3.141593

x_27: 3.162278 | y_27: 3.141593

x_28: 3.464102 | y_28: 3.141593

x_29: 4.000000 | y_29: 3.141593

x_30: 0.000000 | y_30: 3.141593

x_31: 0.000000 | y_31: 3.141593

x_32: 0.000000 | y_32: 3.141593

x_33: 0.000000 | y_33: 3.141593

x_34: 0.000000 | y_34: 3.141593

x_35: 0.000000 | y_35: 3.141593

x_36: 0.000000 | y_36: 3.141593

x_37: 0.000000 | y_37: 3.141593

x_38: 0.000000 | y_38: 3.141593

x_39: 0.000000 | y_39: 3.141593

x_40: 0.000000 | y_40: 3.141593

x_41: 0.000000 | y_41: 3.141593

x_42: 0.000000 | y_42: 3.141593

x_43: 0.000000 | y_43: 3.141593

x_44: 0.000000 | y_44: 3.141593

x_45: 0.000000 | y_45: 3.141593

x_46: 0.000000 | y_46: 3.141593

x_47: 0.000000 | y_47: 3.141593

x_48: 0.000000 | y_48: 3.141593

x_49: 0.000000 | y_49: 3.141593

x_50: 0.000000 | y_50: 3.141593

